Date,BTC Closing Value
"Nov 20, 2021","50,916.28"
"Nov 19, 2021","51,492.03"
"Nov 18, 2021","50,086.53"
"Nov 17, 2021","53,339.00"
"Nov 16, 2021","53,146.45"
"Nov 15, 2021","55,914.40"
"Nov 14, 2021","57,219.66"
"Nov 13, 2021","56,335.54"
"Nov 12, 2021","56,061.52"
"Nov 11, 2021","56,736.26"
