Currency Code,Rate
JPY,113.761
BGN,1.735
CZK,22.547
DKK,6.598
GBP,0.745
HUF,326.324
PLN,4.154
RON,4.391
SEK,8.958
CHF,0.928
ISK,131.133
NOK,8.915
HRK,6.668
RUB,73.474
TRY,11.112
AUD,1.382
BRL,5.561
CAD,1.265
CNY,6.390
HKD,7.793
IDR,14289.362
ILS,3.095
INR,74.253
KRW,1193.009
MXN,20.818
MYR,4.183
NZD,1.428
PHP,50.637
SGD,1.361
THB,32.800
ZAR,15.750
